clave,Área geográfica,Porcentaje
7,Chiapas,86.2
7001,Acacoyagua,89.2
7002,Acala,84.1
7003,Acapetahua,86.2
7113,Aldama,78.8
7004,Altamirano,77
7005,Amatán,82.9
7006,Amatenango de la Frontera,84.6
7007,Amatenango del Valle,73.5
7008,Angel Albino Corzo,82.4
7009,Arriaga,91.5
7010,Bejucal de Ocampo,89.2
7011,Bella Vista,89.7
7114,Benemérito de las Américas,85
7012,Berriozábal,89.9
7013,Bochil,86
7015,Cacahoatán,90.1
7120,Capitán Luis Ángel Vidal,84.8
7016,Catazajá,86.9
7022,Chalchihuitán,70.8
7023,Chamula,67.4
7024,Chanal,77.5
7025,Chapultenango,85.2
7026,Chenalhó,72.4
7027,Chiapa de Corzo,90.8
7028,Chiapilla,78.1
7029,Chicoasén,88.4
7030,Chicomuselo,83.8
7031,Chilón,73.2
7017,Cintalapa,89.9
7018,Coapilla,85.1
7019,Comitán de Domínguez,90.8
7021,Copainalá,89.3
7014,El Bosque,77.4
7122,El Parral,85.6
7070,El Porvenir,91.1
7123,Emiliano Zapata,86.8
7032,Escuintla,87.9
7033,Francisco León,80
7034,Frontera Comalapa,89
7035,Frontera Hidalgo,86.9
7125,Honduras de la Sierra,81.4
7037,Huehuetán,87.4
7039,Huitiupán,78.2
7038,Huixtán,81.6
7040,Huixtla,91
7042,Ixhuatán,86.1
7043,Ixtacomitán,89.7
7044,Ixtapa,86.4
7045,Ixtapangajoya,86.7
7046,Jiquipilas,89.4
7047,Jitotol,84.1
7048,Juárez,89.6
7020,La Concordia,82.5
7036,La Grandeza,91.1
7041,La Independencia,87.4
7050,La Libertad,87.9
7099,La Trinitaria,86.1
7049,Larráinzar,82.6
7052,Las Margaritas,81.2
7075,Las Rosas,78.5
7051,Mapastepec,88
7115,Maravilla Tenejapa,80.8
7116,Marqués de Comillas,81.2
7053,Mazapa de Madero,91.8
7054,Mazatán,88
7055,Metapa,91.7
7124,Mezcalapa,86.5
7056,Mitontic,63.3
7117,Montecristo de Guerrero,85.4
7057,Motozintla,89.4
7058,Nicolás Ruíz,85.8
7059,Ocosingo,78
7060,Ocotepec,72
7061,Ocozocoautla de Espinosa,89.6
7062,Ostuacán,87.4
7063,Osumacinta,92.5
7064,Oxchuc,84
7065,Palenque,85.7
7066,Pantelhó,64
7067,Pantepec,77.5
7068,Pichucalco,88.7
7069,Pijijiapan,87.6
7072,Pueblo Nuevo Solistahuacán,80.4
7073,Rayón,83.9
7074,Reforma,93.3
7121,Rincón Chamula San Pedro,75.7
7076,Sabanilla,79.7
7077,Salto de Agua,76.8
7118,San Andrés Duraznal,70.6
7078,San Cristóbal de las Casas,90.7
7079,San Fernando,89.2
7112,San Juan Cancuc,69.2
7110,San Lucas,78.7
7119,Santiago el Pinar,66.8
7080,Siltepec,84.9
7081,Simojovel,75.4
7082,Sitalá,59.9
7083,Socoltenango,82.3
7084,Solosuchiapa,86.1
7085,Soyaló,85.9
7086,Suchiapa,88.2
7087,Suchiate,85.7
7088,Sunuapa,87.6
7089,Tapachula,92.8
7090,Tapalapa,86.6
7091,Tapilula,88.3
7092,Tecpatán,86
7093,Tenejapa,80.7
7094,Teopisca,79
7096,Tila,76.9
7097,Tonalá,90.6
7098,Totolapa,74.6
7100,Tumbalá,73.2
7102,Tuxtla Chico,88.6
7101,Tuxtla Gutiérrez,96.1
7103,Tuzantán,89.1
7104,Tzimol,83.2
7105,Unión Juárez,89.4
7106,Venustiano Carranza,79.3
7071,Villa Comaltitlán,87.7
7107,Villa Corzo,84.6
7108,Villaflores,88.8
7109,Yajalón,76.3
7111,Zinacantán,69
